
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние
  TCP    0.0.0.0:135            LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:445            LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:3000           LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:3306           LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:5040           LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:5357           LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:7680           LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:9999           LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:33060          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49664          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49665          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49666          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49667          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49668          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49669          LAPTOP-76F9LCTG:0      LISTENING
  TCP    0.0.0.0:49670          LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:443          LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:3307         LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:5939         LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:6943         LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:8880         LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:9999         distrib:63363          ESTABLISHED
  TCP    127.0.0.1:13579        LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:27017        LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:27017        distrib:55621          ESTABLISHED
  TCP    127.0.0.1:27017        distrib:63375          ESTABLISHED
  TCP    127.0.0.1:27017        distrib:63376          ESTABLISHED
  TCP    127.0.0.1:27017        distrib:63377          ESTABLISHED
  TCP    127.0.0.1:49671        distrib:49672          ESTABLISHED
  TCP    127.0.0.1:49672        distrib:49671          ESTABLISHED
  TCP    127.0.0.1:49673        LAPTOP-76F9LCTG:0      LISTENING
  TCP    127.0.0.1:49673        distrib:49890          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49892          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49899          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49902          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49905          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49907          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49911          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49913          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49917          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49918          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49923          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49926          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49935          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49937          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49953          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49955          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49974          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49975          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49977          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49978          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49980          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49981          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49983          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49984          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49985          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49987          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49990          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49991          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49992          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49993          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49995          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49997          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:49998          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50000          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50003          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50008          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50013          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50014          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50015          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50016          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50017          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50018          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50020          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50022          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50023          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50024          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50026          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50027          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50028          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50029          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50030          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50031          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50032          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50034          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50035          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50038          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50039          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50040          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50041          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50043          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50045          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50046          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50048          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50049          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50050          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50051          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50052          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50053          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50054          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50055          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50058          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50059          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50060          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50061          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50062          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50064          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50065          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50067          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50070          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50071          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50072          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50073          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50074          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50076          ESTABLISHED
  TCP    127.0.0.1:49673        distrib:50077          ESTABLISHED
